id_cliente;age;state;first_purchased_product;product_b_total_qty;product_c_total_qty;product_a_total_qty;product_b_total_value;product_c_total_value;product_a_total_value
1548272;29;DF;b;11;5;;0;373,84;
1548273;31;GO;b;16;12;;525;3885,03;
1548274;40;MG;;;;;;;
1548275;33;SP;b;11;;;77;;
1548276;24;GO;a;13;;13;650;;130
1548277;27;CE;a;9;10;4;4;652,7;27
1548278;42;SP;b;2;12;;2;1446,35;
1548279;46;SP;a;10;;12;27;;24
1548280;36;MG;b;12;19;;385;444,17;
1548281;25;MG;;;;;;;
1548282;27;RS;;;;;;;
1548283;29;MG;b;23;;;0;;
1548284;38;AM;;;;;;;
1548285;54;PE;b;13;14;;675;3690,75;
1548286;29;SP;a;;;7;;;1032
1548287;3;RN;;;;;;;
1548288;25;RJ;a;3;;1;21;;15
1548289;46;RS;a;26;12;7;68;1686,66;18
1548290;34;SP;b;15;;;85;;
1548291;2;PE;a;11;;12;570;;330
1548292;23;GO;c;;15;;;0;
1548293;28;SC;;;;;;;
1548294;43;BA;c;;4;;;9,81;
1548295;24;CE;a;9;;6;54;;45
1548296;44;MG;;;;;;;
1548297;29;GO;b;10;;;6;;
1548298;24;BA;b;11;13;;90;2877,66;
1548299;30;MS;a;9;12;7;20;1803,2;18
1548300;50;SP;b;8;15;;24;5817,91;
1548301;46;BA;b;7;10;;408;936,95;
1548302;46;SP;;;;;;;
1548303;30;BA;a;13;25;1;330;5754,56;30
1548304;0;DF;b;13;6;;450;563,12;
1548305;47;AL;b;6;;;105;;
1548306;41;SP;b;15;;;0;;
1548307;46;CE;;;;;;;
1548308;34;RJ;;;;;;;
1548309;36;SP;;;;;;;
1548310;27;PE;a;9;2;2;2;286;8
1548311;38;SP;;;;;;;
1548312;39;PE;;;;;;;
1548313;38;MS;b;8;;;26;;
1548314;3;MG;;;;;;;
1548315;9;SP;a;;;6;;;25
1548316;38;SP;;;;;;;
1548317;9;PR;;;;;;;
1548318;46;PE;a;10;;11;2;;20
1548319;29;AL;b;16;;;14;;
1548320;21;PB;;;;;;;
1548321;25;TO;b;3;;;4;;
1548322;37;MA;b;5;11;;27;524,72;
1548323;40;SE;;;;;;;
1548324;38;RJ;b;10;7;;9;355,86;
1548325;45;SP;a;15;;6;120;;24
1548326;49;RJ;b;7;2;;0;657,79;
1548327;25;SP;;;;;;;
1548328;33;CE;b;6;8;;0;683,88;
1548329;33;SP;b;16;9;;870;135,66;
1548330;21;RS;a;14;;10;35;;672
1548331;39;RJ;a;;;6;;;958,3
1548332;4;ES;b;8;;;30;;
1548333;47;RN;b;51;;;0;;
1548334;2;BA;c;;5;;;1332,4;
1548335;7;SP;;;;;;;
1548336;38;MG;c;;12;;;43,14;
1548337;51;RS;b;18;5;;0;82,86;
1548338;29;MG;;;;;;;
1548339;32;PB;;;;;;;
1548340;46;PB;;;;;;;
1548341;25;PE;b;16;5;;60;4887,72;
1548342;1;SP;;;;;;;
1548343;30;AL;a;3;9;10;10;449,9;35
1548344;52;SP;b;19;12;;260;292,23;
1548345;30;SP;a;;;12;;;1
1548346;51;PE;b;11;6;;30;479,92;
1548347;34;PI;b;17;;;380;;
1548348;26;PE;;;;;;;
1548349;43;RJ;;;;;;;
1548350;26;SP;;;;;;;
1548351;39;RS;;;;;;;
1548352;35;CE;;;;;;;
1548353;37;MG;b;8;3;;8;1036,8;
1548354;4;CE;;;;;;;
1548355;34;PE;;;;;;;
1548356;25;BA;a;;;22;;;460
1548357;29;BA;a;14;11;1;28;752,64;10
1548358;8;SP;;;;;;;
1548359;9;SP;b;3;5;;135;0;
1548360;3;SP;a;3;;12;136;;7
1548361;42;SP;;;;;;;
1548362;36;PB;b;20;9;;992;422,65;
1548363;30;AL;;;;;;;
1548364;31;PE;a;12;;6;315;;81
1548365;52;SP;a;4;10;11;162;45,93;316,9
1548366;42;RS;;;;;;;
1548367;46;MG;b;2;;;28;;
1548368;32;SP;;;;;;;
1548369;4;PR;a;;;5;;;5
1548370;36;MG;b;15;;;72;;
1548371;29;PE;;;;;;;
1548372;31;MA;;;;;;;
1548373;29;SP;;;;;;;
1548374;39;SP;;;;;;;
1548375;22;MA;a;9;10;2;0;89,97;5
1548376;9;SP;b;4;;;90;;
1548377;26;GO;b;10;;;5;;
1548378;1;SP;;;;;;;
1548379;4;PR;c;;13;;;5969,44;
1548380;26;SP;b;8;;;765;;
1548381;43;RN;b;16;;;528;;
1548382;43;SP;a;;;33;;;425
1548383;35;RJ;b;2;10;;3;981,2;
1548384;8;SC;b;6;14;;18;1970,4;
1548385;36;SP;b;14;9;;0;1746,4;
1548386;42;DF;c;;3;;;899,85;
1548387;38;SP;a;8;10;4;210;0;110
1548388;3;RJ;;;;;;;
1548389;30;RJ;b;6;;;339;;
1548390;30;ES;;;;;;;
1548391;22;SP;a;9;;10;54;;60
1548392;42;SP;a;;;22;;;448
1548393;50;CE;b;6;;;4;;
1548394;29;GO;b;1;11;;3;257,91;
1548395;28;SP;b;6;;;24;;
1548396;25;RN;;;;;;;
1548397;43;PE;;;;;;;
1548398;36;PI;;;;;;;
1548399;35;ES;;;;;;;
1548400;28;SP;;;;;;;
1548401;45;RJ;b;10;8;;21;2146,05;
1548402;28;ES;b;10;11;;15;695,69;
1548403;41;PB;b;21;12;;196;5452,3;
1548404;28;MG;b;8;2;;120;1187,5;
1548405;30;RO;b;8;;;2;;
1548406;28;BA;b;14;11;;33;186,1;
1548407;51;BA;b;25;23;;220;84,5;
1548408;32;BA;b;5;6;;28;446,46;
1548409;30;PI;;;;;;;
1548410;25;ES;;;;;;;
1548411;24;PE;;;;;;;
1548412;31;MG;a;2;;2;32;;8
1548413;40;RS;;;;;;;
1548414;28;MA;b;3;2;;8;13,26;
1548415;6;SP;b;11;;;40;;
1548416;44;SP;;;;;;;
1548417;40;RN;;;;;;;
1548418;48;CE;b;10;10;;20;283,9;
1548419;22;SP;a;12;2;6;0;353,6;1395
1548420;34;MA;a;4;;1;245;;40
1548421;29;RN;b;2;;;20;;
1548422;27;BA;b;5;;;16;;
1548423;30;PE;;;;;;;
1548424;25;MG;;;;;;;
1548425;28;RJ;;;;;;;
1548426;10;GO;b;19;;;88;;
1548427;31;AL;;;;;;;
1548428;37;SC;b;7;;;36;;
1548429;48;MG;;;;;;;
1548430;31;SP;;;;;;;
1548431;30;MG;;;;;;;
1548432;4;RJ;b;7;13;;0;1693,8;
1548433;39;MG;a;44;;7;98;;6
1548434;30;BA;;;;;;;
1548435;2;RJ;c;;5;;;263,92;
1548436;34;SP;;;;;;;
1548437;33;SP;b;20;;;96;;
1548438;33;RS;b;6;;;91;;
1548439;2;SP;;;;;;;
1548440;44;SP;b;6;6;;42;111,98;
1548441;29;GO;b;24;10;;1140;0;
1548442;47;SE;;;;;;;
1548443;39;CE;b;12;1;;156;239,94;
1548444;39;SP;b;7;;;245;;
1548445;42;RJ;;;;;;;
1548446;36;BA;b;3;3;;50;427,02;
1548447;38;CE;b;8;9;;1017;485,62;
1548448;32;PE;b;17;;;0;;
1548449;31;SP;;;;;;;
1548450;34;PB;a;13;4;9;32;224,04;10
1548451;28;RJ;b;16;13;;130;4338,6;
1548452;31;MA;;;;;;;
1548453;25;SP;b;7;;;210;;
1548454;50;SP;b;11;;;405;;
1548455;36;RJ;a;4;11;7;24;2146,59;21
1548456;49;BA;;;;;;;
1548457;31;CE;b;7;3;;1;1244,16;
1548458;36;MA;;;;;;;
1548459;32;GO;a;13;4;9;95;67,1;30
1548460;38;CE;;;;;;;
1548461;20;GO;;;;;;;
1548462;49;SP;a;9;;9;6;;90
1548463;27;SP;;;;;;;
1548464;28;RJ;b;2;4;;16;46,19;
1548465;49;SP;a;;;2;;;12
1548466;23;SP;a;10;;2;54;;30
1548467;29;SP;a;10;;10;12;;54
1548468;53;PI;b;18;10;;7;2154,6;
1548469;0;MG;b;8;8;;81;723,2;
1548470;0;BA;;;;;;;
1548471;41;PR;b;8;;;150;;
1548472;36;MA;;;;;;;
1548473;39;SP;b;11;2;;49;494,91;
1548474;43;AL;b;13;12;;12;104,6;
1548475;50;PB;b;23;6;;0;46,98;
1548476;24;RJ;b;15;;;0;;
1548477;42;MG;b;15;;;325;;
1548478;36;CE;;;;;;;
1548479;45;RJ;a;4;;12;315;;4
1548480;30;GO;b;10;2;;13;359,9;
1548481;5;RJ;;;;;;;
1548482;25;GO;;;;;;;
1548483;45;BA;;;;;;;
1548484;27;PR;a;;11;10;;3535,28;0
1548485;35;SP;;;;;;;
1548486;1;CE;a;;;13;;;52
1548487;7;SP;;;;;;;
1548488;44;MG;a;23;15;11;660;115,96;9
1548489;50;MG;;;;;;;
1548490;54;MG;b;23;;;240;;
1548491;38;MS;b;14;9;;12;42,46;
1548492;38;GO;;;;;;;
1548493;37;RJ;b;32;21;;1425;5161,8;
1548494;42;SP;b;1;13;;238;3592,44;
1548495;25;SP;a;;;4;;;52
1548496;30;SP;b;5;3;;30;13,87;
1548497;34;RO;b;5;8;;45;84,84;
1548498;40;CE;b;5;;;24;;
1548499;35;BA;a;15;9;10;225;1034,76;1
1548500;35;PE;;;;;;;
1548501;46;SP;c;;12;;;967,92;
1548502;35;BA;b;13;21;;375;4184,58;
1548503;27;SP;a;;12;8;;586,78;12
1548504;21;BA;b;13;12;;28;644;
1548505;33;SP;c;;9;;;163,85;
1548506;39;TO;;;;;;;
1548507;30;SP;b;4;6;;28;257,32;
1548508;27;RN;b;11;;;42;;
1548509;32;CE;a;;;9;;;12
1548510;34;AL;b;10;8;;35;453,95;
1548511;33;PE;b;7;;;4;;
1548512;28;RO;b;11;5;;326;107,98;
1548513;40;;;;;;;;
1548514;26;SP;b;14;;;110;;
1548515;44;MG;;;;;;;
1548516;29;RJ;b;16;;;1350;;
1548517;21;BA;;;;;;;
1548518;31;CE;c;;4;;;175,77;
1548519;39;BA;;;;;;;
1548520;31;SC;b;8;8;;27;296,59;
1548521;33;MG;b;8;10;;680;392,94;
1548522;32;SP;;;;;;;
1548523;31;PE;;;;;;;
1548524;30;BA;b;5;;;30;;
1548525;39;PA;a;6;7;4;64;749,9;0
1548526;22;RO;;;;;;;
1548527;31;SP;;;;;;;
1548528;6;RJ;a;10;;4;42;;70
1548529;6;SP;b;7;15;;16;2107,44;
1548530;40;SC;b;7;1;;385;587,28;
1548531;28;CE;b;13;;;11;;
1548532;48;SP;;;;;;;
1548533;25;SP;a;14;;20;48;;45
1548534;32;MG;b;9;;;7;;
1548535;36;RS;;;;;;;
1548536;36;BA;b;7;13;;14;2763,88;
1548537;2;PE;b;8;11;;20;475,85;
1548538;32;SP;a;11;;15;180;;90
1548539;50;SP;c;;11;;;16,8;
1548540;35;RS;b;4;6;;2;525,6;
1548541;52;PE;b;14;;;952;;
1548542;39;RJ;b;7;12;;72;203,22;
1548543;37;SP;b;14;11;;600;0;
1548544;31;SC;b;13;;;45;;
1548545;31;RJ;b;12;10;;0;287,75;
1548546;27;SP;a;10;;14;30;;99
1548547;38;RJ;;;;;;;
1548548;32;RJ;c;;5;;;1344;
1548549;35;SP;a;14;;13;55;;63
1548550;43;MA;;;;;;;
1548551;39;SE;;;;;;;
1548552;51;SP;c;;3;;;0;
1548553;44;MG;b;3;2;;40;897,66;
1548554;27;CE;a;7;;7;165;;20
1548555;26;RJ;b;9;;;0;;
1548556;25;SP;a;;;10;;;78
1548557;1;SP;;;;;;;
1548558;34;SP;b;9;2;;6;0;
1548559;48;PA;a;4;;5;25;;24
1548560;27;RO;b;45;10;;830;477,84;
1548561;32;ES;a;;;15;;;0
1548562;34;RJ;;;;;;;
1548563;34;GO;c;;7;;;3239,18;
1548564;42;SC;b;18;;;1400;;
1548565;54;MG;b;20;15;;1590;5157,9;
1548566;52;SP;b;3;18;;9;4322,36;
1548567;38;GO;a;15;6;12;178;221,76;203
1548568;49;BA;b;6;11;;63;530,25;
1548569;41;CE;b;11;2;;704;291,9;
1548570;37;SP;;;;;;;
1548571;2;SP;;;;;;;
1548572;26;SP;;;;;;;
1548573;23;BA;c;;13;;;823,71;
1548574;41;SP;c;;7;;;0;
1548575;39;RS;b;8;7;;8;400,26;
1548576;35;CE;c;;5;;;27,36;
1548577;1;CE;b;10;3;;28;974;
1548578;31;GO;;;;;;;
1548579;37;AM;b;5;;;8;;
1548580;45;SP;b;13;7;;1180;49,92;
1548581;29;SP;b;8;2;;70;947;
1548582;45;SP;;;;;;;
1548583;34;PE;;;;;;;
1548584;32;AM;;;;;;;
1548585;26;MG;b;11;;;40;;
1548586;35;PA;c;;12;;;1270,76;
1548587;28;RJ;a;4;3;7;8;110,58;88
1548588;30;SP;b;11;12;;0;229,32;
1548589;44;MG;b;8;10;;64;368,4;
1548590;43;RN;b;14;7;;5;156,3;
1548591;35;RJ;b;34;12;;66;7897,44;
1548592;41;RJ;b;35;6;;0;8884,62;
